original_id,country_name,country_code,map_coordinates,url,region_name,region_code,Description,Project Name
1,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,https://www.fluor.com/market-reach/industries/infrastructure,Southwest Region,"NAC"" (North America)",Total Construction Cost of Healthcare Projects,"Total Construction Cost of Healthcare Projects

Total dollar value and number of projects either in review, pending construction, in construction, or in closure aggregated into California counties, once every two weeks since..."
2,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Medium and Heavy Duty Infrastructure,"Medium and Heavy Duty Infrastructure

Medium- and heavy-duty (MDHD) zero-emission vehicle (ZEV) hydrogen refueling and charging station data was collected from the following agencies: California Air Resources Board..."
3,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Office of Public School Construction (OPSC) Open Data Portal,"Office of Public School Construction (OPSC) Open Data Portal

This dataset contains information on all projects funded under the School Facility Program. The data is provided by the Office of Public School Construction under the authority..."
4,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",CalVTP Approved and Completed Projects (application),"CalVTP Approved and Completed Projects (application)

Purpose:
This viewer is for the general public to see fuels reduction projects approved and completed under the CalVTP.

Background:
The California Vegetation Treatment Program..."
5,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",CalVTP Approved and Completed Projects (map),"CalVTP Approved and Completed Projects (map)

This map includes CalVTP treatment areas and project boundaries. The web map supprorts theÂ CalVTP Approved and Completed Projects (arcgis.com)Â application.Â  It allows the user..."
6,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",California's National Electric Vehicle Infrastructure Funding Program Map,"California's National Electric Vehicle Infrastructure Funding Program Map

The California Department of Transportation (Caltrans) and the California Energy Commission (CEC) are partnering to implement the federal National Electric Vehicle..."
7,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Stormwater Projects,"Stormwater Projects

The dataset contains storm water projects planned in the future throughout California that involve groundwater recharge and direct use. It was used to develop storm water..."
8,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",i19 Stormwater Project Points,"i19 Stormwater Project Points

The feature dataset contains storm water projects planned in the future throughout California that involve groundwater recharge and direct use. It was used to develop storm..."
9,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",i19 Stormwater Project Polys,"i19 Stormwater Project Polys

The feature dataset contains data representing storm water projects planned in the future throughout regions in California that involve groundwater recharge and direct use. It..."
10,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Cal VTP Proposed Projects Application,"Cal VTP Proposed Projects Application

Purpose:
This viewer is for the general public to see planned vegetation management projects under the CalVTP. These projects are only planned and have not been approved or..."
11,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Climate Change Projections for Water Storage Investment Program (WSIP),"Climate Change Projections for Water Storage Investment Program (WSIP)

To aid applicants with quantification and monetization of benefits of proposed water storage projects per Chapter 8 of Proposition 1 (Water Code section 79750 et. seq.), the..."
12,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)",Housing Element Annual Progress Report (APR) Data by Jurisdiction and Year,"Housing Element Annual Progress Report (APR) Data by Jurisdiction and Year

Government Code section 65400 requires that each city, county, or city and county, including charter cities, prepare an annual progress report (APR) on the status of the housing..."
13,USA,ISO 3166-1 alpha-3,Latitude: 36.7783° N Longitude: 119.4179° W,,Southwest Region,"NAC"" (North America)","Drinking Water - Open Environmental Data Project - March 23, 2023 Workshop","Drinking Water - Open Environmental Data Project - March 23, 2023 Workshop

The following datasets related to regulated drinking water system facilities in California have been developed and are available for the purpose of the March 23, 2023, OEDP..."
